name,price,position,dob,nationality,height,foot,join_date,contract_expiration
George Cox,€900k,Left-Back,"Jan 14, 1998 (25)",England,"1,71m",left,"Jul 6, 2020","Jun 30, 2023"
Rémy Vita,€800k,Left-Back,"Apr 1, 2001 (22)",Madagascar,"1,70m",left,"Jul 5, 2022","Jun 30, 2026"
Ximo Navarro,€700k,Right-Back,"Jan 23, 1990 (33)",Spain,"1,76m",right,"Sep 14, 2022","Jun 30, 2023"
Ivo Pinto,€500k,Right-Back,"Jan 7, 1990 (33)",Portugal,"1,82m",right,"Jul 1, 2022","Jun 30, 2023"
Mike van Beijnen,€175k,Right-Back,"Mar 13, 1999 (24)",Netherlands,"1,87m",right,"Aug 17, 2020","Jun 30, 2023"
Dogan Erdogan,€1.10m,Defensive Midfield,"Aug 22, 1996 (26)",Turkey,"1,82m",right,"Jul 7, 2022","Jun 30, 2025"
Kristijan Bistrovic,€2.60m,Central Midfield,"Apr 9, 1998 (24)",Croatia,"1,83m",right,"Jan 19, 2023","Jun 30, 2023"
Oguzhan Özyakup,€1.00m,Central Midfield,"Sep 23, 1992 (30)",Turkey,"1,80m",right,"Sep 1, 2022","Jun 30, 2024"
Deroy Duarte,€750k,Central Midfield,"Jul 4, 1999 (23)",Cape Verde,"1,77m",right,"Aug 12, 2021","Jun 30, 2024"
Arianit Ferati,€650k,Attacking Midfield,"Sep 7, 1997 (25)",Kosovo,"1,68m",left,"Jul 29, 2021","Jun 30, 2024"
Richie Musaba,€200k,Attacking Midfield,"Dec 6, 2000 (22)",Netherlands,"1,77m",right,"Sep 4, 2020","Jun 30, 2023"
Iñigo Córdoba,€2.50m,Left Winger,"Mar 13, 1997 (26)",Spain,"1,80m",left,"Jul 22, 2022","Jun 30, 2024"
Gianmarco Cangiano,€800k,Left Winger,"Nov 16, 2001 (21)",Italy,"1,76m",right,"Jan 11, 2023","Jun 30, 2023"
Úmaro Embaló,€1.50m,Right Winger,"May 6, 2001 (21)",Portugal,"1,70m",left,"Aug 31, 2022","Jun 30, 2026"
Tijjani Noslin,€450k,Right Winger,"Jul 7, 1999 (23)",Netherlands,-,,"Aug 11, 2021","Jun 30, 2026"
Tunahan Tasci,€50k,Right Winger,"Apr 29, 2002 (20)",Turkey,"1,72m",left,"Jul 1, 2022","Jun 30, 2026"
Burak Yilmaz,€1.00m,Centre-Forward,"Jul 15, 1985 (37)",Turkey,"1,88m",right,"Jul 1, 2022","Jun 30, 2024"
Thomas Buitink,€700k,Centre-Forward,"Jun 14, 2000 (22)",Netherlands,"1,74m",right,"Jan 1, 2023","Jun 30, 2023"
Paul Gladon,€450k,Centre-Forward,"Mar 18, 1992 (31)",Netherlands,"1,88m",right,"Feb 4, 2022","Jun 30, 2024"
Mathew Ryan,€4.00m,Goalkeeper,"Apr 8, 1992 (30)",Australia,"1,84m",right,"Jan 9, 2023","Jun 30, 2024"
Hobie Verhulst,€650k,Goalkeeper,"Apr 2, 1993 (30)",Netherlands,"1,92m",left,"Jul 1, 2020","Jun 30, 2025"
Sem Westerveld,€250k,Goalkeeper,"Jul 18, 2002 (20)",Netherlands,"1,90m",,"Jul 1, 2022","Jun 30, 2026"
Rome Jayden Owusu-Oduro,€100k,Goalkeeper,"Jul 2, 2004 (18)",Netherlands,-,right,-,"Jun 30, 2026"
Zinho Vanheusden,€6.00m,Centre-Back,"Jul 29, 1999 (23)",Belgium,"1,87m",right,"Jul 25, 2022","Jun 30, 2023"
Pantelis Chatzidiakos,€3.50m,Centre-Back,"Jan 18, 1997 (26)",Greece,"1,85m",right,"Dec 4, 2015","Jun 30, 2024"
Sam Beukema,€3.00m,Centre-Back,"Nov 17, 1998 (24)",Netherlands,"1,88m",right,"Jul 1, 2021","Jun 30, 2026"
Bruno Martins Indi,€2.20m,Centre-Back,"Feb 8, 1992 (31)",Netherlands,"1,85m",left,"Jul 5, 2021","Jun 30, 2025"
Maxim Dekker,€1.50m,Centre-Back,"Apr 21, 2004 (18)",Netherlands,-,left,"Jul 1, 2022","Jun 30, 2026"
Wouter Goes,€1.30m,Centre-Back,"Jun 10, 2004 (18)",Netherlands,"1,87m",right,"Jan 1, 2023","Jun 30, 2026"
Milos Kerkez,€10.00m,Left-Back,"Nov 7, 2003 (19)",Hungary,"1,80m",left,"Jan 29, 2022","Jun 30, 2026"
Mees de Wit,€1.50m,Left-Back,"Apr 17, 1998 (24)",Netherlands,"1,81m",left,"Jul 1, 2022","Jun 30, 2027"
Yukinari Sugawara,€6.00m,Right-Back,"Jun 28, 2000 (22)",Japan,"1,79m",right,"Jul 1, 2020","Jun 30, 2025"
Jordy Clasie,€3.00m,Defensive Midfield,"Jun 27, 1991 (31)",Netherlands,"1,69m",right,"Jul 22, 2019","Jun 30, 2024"
Tijjani Reijnders,€8.00m,Central Midfield,"Jul 29, 1998 (24)",Netherlands,"1,85m",right,"Jan 1, 2018","Jun 30, 2027"
Riechedly Bazoer,€3.50m,Central Midfield,"Oct 12, 1996 (26)",Netherlands,"1,84m",right,"Aug 1, 2022","Jun 30, 2025"
Zico Buurmeester,€550k,Central Midfield,"Jun 7, 2002 (20)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2024"
Djordje Mihailovic,€6.00m,Attacking Midfield,"Nov 10, 1998 (24)",United States,"1,78m",,"Jan 1, 2023","Jun 30, 2026"
Dani de Wit,€4.00m,Attacking Midfield,"Jan 28, 1998 (25)",Netherlands,"1,84m",right,"Aug 30, 2019","Jun 30, 2024"
Sven Mijnans,€3.50m,Attacking Midfield,"Mar 9, 2000 (23)",Netherlands,"1,90m",left,"Jan 31, 2023","Jun 30, 2028"
Fedde de Jong,€650k,Attacking Midfield,"Jun 13, 2003 (19)",Netherlands,"1,85m",right,-,"Jun 30, 2025"
Jesper Karlsson,€16.00m,Left Winger,"Jul 25, 1998 (24)",Sweden,"1,79m",right,"Sep 29, 2020","Jun 30, 2026"
Myron van Brederode,€2.00m,Left Winger,"Jul 6, 2003 (19)",Netherlands,"1,74m",right,"Aug 30, 2022","Jun 30, 2027"
Mayckel Lahdo,€1.30m,Left Winger,"Dec 30, 2002 (20)",Sweden,"1,71m",right,"Jul 1, 2022","Jun 30, 2027"
Vangelis Pavlidis,€12.00m,Centre-Forward,"Nov 21, 1998 (24)",Greece,"1,86m",both,"Jul 9, 2021","Jun 30, 2025"
Jens Odgaard,€6.00m,Centre-Forward,"Mar 31, 1999 (24)",Denmark,"1,88m",left,"Jul 1, 2022","Jun 30, 2027"
Yusuf Barasi,€650k,Centre-Forward,"Mar 31, 2003 (20)",Turkey,"1,82m",right,"Jan 20, 2022","Jun 30, 2025"
Ernest Poku,€300k,Centre-Forward,"Jan 28, 2004 (19)",Netherlands,"1,72m",right,"Jan 28, 2022","Jun 30, 2026"
Stijn van Gassel,€850k,Goalkeeper,"Oct 18, 1996 (26)",Netherlands,"1,86m",left,"Jul 1, 2021","Jun 30, 2023"
Norbert Alblas,€275k,Goalkeeper,"Dec 12, 1994 (28)",Netherlands,"1,86m",right,"Aug 31, 2022","Jun 30, 2023"
Pascal Kuiper,€125k,Goalkeeper,"Mar 17, 2004 (19)",Netherlands,"1,94m",right,"Jul 1, 2021","Jun 30, 2025"
Kik Pierie,€1.00m,Centre-Back,"Jul 20, 2000 (22)",Netherlands,"1,83m",left,"Jan 1, 2023","Jun 30, 2023"
Redouan El Yaakoubi,€700k,Centre-Back,"Jan 25, 1996 (27)",Netherlands,"1,83m",right,"Jul 1, 2021","Jun 30, 2023"
Sven Nieuwpoort,€375k,Centre-Back,"Apr 13, 1993 (29)",Netherlands,"1,91m",right,"Jul 27, 2021","Jun 30, 2023"
Maxime Awoudja,€375k,Centre-Back,"Feb 2, 1998 (25)",Germany,"1,88m",right,"Aug 31, 2022","Jun 30, 2023"
Serano Seymor,€300k,Centre-Back,"Jan 4, 2002 (21)",Netherlands,"1,90m",,"Jul 1, 2021","Jun 30, 2023"
Arthur Zagré,€800k,Left-Back,"Oct 4, 2001 (21)",France,"1,68m",left,"Jan 31, 2023","Jun 30, 2023"
Nathan Tjoe-A-On,€500k,Left-Back,"Dec 22, 2001 (21)",Netherlands,"1,82m",left,"Jul 1, 2019","Jun 30, 2024"
Siebe Horemans,€500k,Right-Back,"Jun 2, 1998 (24)",Belgium,"1,86m",right,"Jul 2, 2019","Jun 30, 2024"
Nathan Markelo,€300k,Right-Back,"Jan 7, 1999 (24)",Curacao,"1,82m",right,"Jul 9, 2022","Jun 30, 2025"
Adrian Fein,€600k,Defensive Midfield,"Mar 18, 1999 (24)",Germany,"1,87m",both,"Aug 24, 2022","Jun 30, 2024"
Peer Koopmeiners,€600k,Defensive Midfield,"May 4, 2000 (22)",Netherlands,"1,86m",right,"Jan 10, 2023","Jun 30, 2023"
Joshua Eijgenraam,€400k,Defensive Midfield,"Feb 18, 2002 (21)",Netherlands,-,right,"Jul 1, 2021","Jun 30, 2025"
Julian Baas,€600k,Central Midfield,"Apr 16, 2002 (20)",Netherlands,-,right,"Jul 1, 2020","Jun 30, 2023"
Yassin Ayoub,€400k,Central Midfield,"Mar 6, 1994 (29)",Morocco,"1,74m",left,"Jul 22, 2022","Jun 30, 2024"
Kenzo Goudmijn,€900k,Attacking Midfield,"Dec 18, 2001 (21)",Netherlands,"1,73m",right,"Jan 7, 2022","Jun 30, 2023"
Noah Naujoks,€400k,Attacking Midfield,"May 2, 2002 (20)",Netherlands,"1,83m",right,"Jan 30, 2023","Jun 30, 2025"
Lazaros Lamprou,€700k,Left Winger,"Dec 19, 1997 (25)",Greece,"1,83m",right,"Aug 31, 2022","Jun 30, 2024"
Couhaib Driouech,€450k,Left Winger,"Apr 17, 2002 (20)",Morocco,"1,75m",right,"Aug 31, 2021","Jun 30, 2025"
Jacky Donkor,€325k,Left Winger,"Nov 12, 1998 (24)",Belgium,"1,76m",right,"Jul 21, 2022","Jun 30, 2025"
Marouan Azarkan,€1.50m,Right Winger,"Dec 8, 2001 (21)",Netherlands,"1,65m",left,"Aug 9, 2021","Jun 30, 2023"
Vicente Besuijen,€600k,Right Winger,"Apr 10, 2001 (21)",Netherlands,"1,69m",right,"Jan 31, 2023","Jun 30, 2023"
Reda Kharchouch,€450k,Centre-Forward,"Aug 27, 1995 (27)",Netherlands,"1,92m",right,"Jul 12, 2022","Jun 30, 2025"
Mike van Duinen,€300k,Centre-Forward,"Nov 6, 1991 (31)",Netherlands,"1,85m",both,"Aug 19, 2022","Jun 30, 2025"
Nikolas Agrafiotis,€250k,Centre-Forward,"Apr 25, 2000 (22)",Serbia,"1,91m",right,"Jan 31, 2022","Jun 30, 2023"
Raphaël Eyongo,€100k,Centre-Forward,"May 21, 2003 (19)",Netherlands,-,right,"Jul 1, 2022","Jun 30, 2023"
Justin Bijlow,€13.00m,Goalkeeper,"Jan 22, 1998 (25)",Netherlands,"1,88m",right,"Jul 1, 2016","Jun 30, 2025"
Timon Wellenreuther,€1.00m,Goalkeeper,"Dec 3, 1995 (27)",Germany,"1,88m",right,"Aug 16, 2022","Jun 30, 2023"
Ofir Marciano,€500k,Goalkeeper,"Oct 7, 1989 (33)",Israel,"1,93m",right,"Jul 1, 2021","Jun 30, 2023"
Tein Troost,€100k,Goalkeeper,"Jan 15, 2002 (21)",Netherlands,"1,87m",left,"Jul 1, 2022","Jun 30, 2023"
David Hancko,€20.00m,Centre-Back,"Dec 13, 1997 (25)",Slovakia,"1,88m",left,"Aug 22, 2022","Jun 30, 2026"
Gernot Trauner,€5.00m,Centre-Back,"Mar 25, 1992 (31)",Austria,"1,83m",right,"Jul 26, 2021","Jun 30, 2026"
Jacob Rasmussen,€3.50m,Centre-Back,"May 28, 1997 (25)",Denmark,"1,90m",left,"Jul 30, 2022","Jun 30, 2023"
Neraysho Kasanwirjo,€2.50m,Centre-Back,"Feb 18, 2002 (21)",Netherlands,"1,85m",right,"Jan 23, 2023","Jun 30, 2027"
Quilindschy Hartman,€6.50m,Left-Back,"Nov 14, 2001 (21)",Netherlands,"1,83m",left,"Sep 1, 2022","Jun 30, 2025"
Marcos López,€2.50m,Left-Back,"Nov 20, 1999 (23)",Peru,"1,78m",left,"Aug 8, 2022","Jun 30, 2026"
Lutsharel Geertruida,€18.00m,Right-Back,"Jul 18, 2000 (22)",Netherlands,"1,84m",right,"Jul 1, 2018","Jun 30, 2025"
Marcus Pedersen,€6.50m,Right-Back,"Jul 16, 2000 (22)",Norway,"1,84m",right,"Jul 1, 2021","Jun 30, 2026"
Mimeirhel Benita,€700k,Right-Back,"Nov 17, 2003 (19)",Netherlands,"1,73m",right,"Aug 23, 2022","Jun 30, 2025"
Mats Wieffer,€7.00m,Defensive Midfield,"Nov 16, 1999 (23)",Netherlands,"1,88m",right,"Jul 1, 2022","Jun 30, 2026"
Orkun Kökcü,€30.00m,Central Midfield,"Dec 29, 2000 (22)",Turkey,"1,75m",both,"Jul 1, 2018","Jun 30, 2025"
Quinten Timber,€8.50m,Central Midfield,"Jun 17, 2001 (21)",Netherlands,"1,77m",right,"Jul 28, 2022","Jun 30, 2026"
Sebastian Szymanski,€14.00m,Attacking Midfield,"May 10, 1999 (23)",Poland,"1,74m",left,"Jul 22, 2022","Jun 30, 2023"
Ezequiel Bullaude,€4.50m,Attacking Midfield,"Oct 26, 2000 (22)",Argentina,"1,84m",right,"Aug 30, 2022","Jun 30, 2027"
Mohamed Taabouni,€700k,Attacking Midfield,"Mar 29, 2002 (21)",Netherlands,"1,78m",right,"Jul 1, 2022","Jun 30, 2024"
Javairô Dilrosun,€6.00m,Left Winger,"Jun 22, 1998 (24)",Netherlands,"1,75m",left,"Jul 11, 2022","Jun 30, 2026"
Igor Paixão,€6.00m,Left Winger,"Jun 28, 2000 (22)",Brazil,"1,68m",right,"Aug 17, 2022","Jun 30, 2027"
Oussama Idrissi,€4.00m,Left Winger,"Feb 26, 1996 (27)",Morocco,"1,83m",right,"Jul 27, 2022","Jun 30, 2023"
Patrik Walemark,€4.50m,Right Winger,"Oct 14, 2001 (21)",Sweden,"1,84m",left,"Jan 17, 2022","Jun 30, 2026"
Alireza Jahanbakhsh,€3.00m,Right Winger,"Aug 11, 1993 (29)",Iran,"1,81m",right,"Jul 17, 2021","Jun 30, 2024"
Santiago Gimenez,€9.00m,Centre-Forward,"Apr 18, 2001 (21)",Mexico,"1,82m",left,"Jul 29, 2022","Jun 30, 2026"
Danilo,€5.00m,Centre-Forward,"Apr 7, 1999 (23)",Brazil,"1,74m",right,"Jul 1, 2022","Jun 30, 2026"
